"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",3,"olivedrab"
"Arcadia",1,"tomato"
"B2",1,"tomato"
"B71",1,"tomato"
"Bd8401",1,"tomato"
"BdBar",1,"tomato"
"BF0072",7,"orange"
"Bm88324",1,"tomato"
"BN0019",7,"orange"
"BN0119",5,"purple"
"BN0123",5,"purple"
"BN0202",3,"olivedrab"
"BN0252",8,"red"
"Br7",1,"tomato"
"Br80",1,"tomato"
"CD0065",8,"red"
"CD0142",5,"purple"
"CH0043",6,"cyan"
"CH0072",6,"cyan"
"CH0452",5,"purple"
"CH0461",6,"cyan"
"CH0533",3,"olivedrab"
"CH1103",6,"cyan"
"CH1164",6,"cyan"
"CHRF",1,"tomato"
"CHW",1,"tomato"
"CM0028",8,"red"
"FR1067",1,"tomato"
"FR1069",1,"tomato"
"G17",1,"tomato"
"G22",1,"tomato"
"GFSI1-7-2",4,"gold"
"GG11",1,"tomato"
"GN0001",4,"gold"
"GY0040",8,"red"
"HO",1,"tomato"
"IA1",3,"olivedrab"
"IB33",5,"purple"
"IB49",2,"lightblue"
"IC17",5,"purple"
"IE1K",5,"purple"
"IN0017",5,"purple"
"IN0054",7,"orange"
"IN0059",5,"purple"
"IN0114",5,"purple"
"IN0115",5,"purple"
"IN0116",8,"red"
"INA168",3,"olivedrab"
"IR00102",4,"gold"
"IR0013",4,"gold"
"IR0015",4,"gold"
"IR0083",4,"gold"
"IR0084",4,"gold"
"IR0088",4,"gold"
"IR0095",4,"gold"
"IT0010",3,"olivedrab"
"JP0091",7,"orange"
"LpKY-97-1",1,"tomato"
"ML0060",8,"red"
"ML0062",7,"orange"
"ML33",8,"red"
"NG0012",8,"red"
"NG0054",8,"red"
"NP0058",6,"cyan"
"P28",1,"tomato"
"P29",1,"tomato"
"P3",1,"tomato"
"Pg1213-22",1,"tomato"
"PgKY4OV2-1",1,"tomato"
"PgPA18C-02",1,"tomato"
"PH42",1,"tomato"
"PL2-1",1,"tomato"
"SSFL02",1,"tomato"
"SSFL14-3",1,"tomato"
"T25",1,"tomato"
"TG0004",7,"orange"
"TG0032",7,"orange"
"TN0001",2,"lightblue"
"TN0002",2,"lightblue"
"TN0050",5,"purple"
"TN0057",5,"purple"
"TN0065",2,"lightblue"
"TN0090",2,"lightblue"
"TR0025",3,"olivedrab"
"US0041",5,"purple"
"US0064",7,"orange"
"VT0027",8,"red"
"VT0030",8,"red"
"Z2-1",1,"tomato"
