"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",4,"gold"
"Arcadia",6,"cyan"
"B2",6,"cyan"
"B71",6,"cyan"
"Bd8401",6,"cyan"
"BdBar",6,"cyan"
"BF0072",1,"tomato"
"Bm88324",5,"purple"
"BN0019",1,"tomato"
"BN0119",3,"olivedrab"
"BN0123",3,"olivedrab"
"BN0202",4,"gold"
"BN0252",1,"tomato"
"Br7",6,"cyan"
"Br80",6,"cyan"
"CD0065",3,"olivedrab"
"CD0142",3,"olivedrab"
"CH0043",7,"orange"
"CH0072",7,"orange"
"CH0452",3,"olivedrab"
"CH0461",7,"orange"
"CH0533",4,"gold"
"CH1103",7,"orange"
"CH1164",7,"orange"
"CHRF",6,"cyan"
"CHW",6,"cyan"
"CM0028",1,"tomato"
"FR1067",6,"cyan"
"FR1069",6,"cyan"
"G17",6,"cyan"
"G22",6,"cyan"
"GFSI1-7-2",5,"purple"
"GG11",6,"cyan"
"GN0001",5,"purple"
"GY0040",1,"tomato"
"HO",6,"cyan"
"IA1",4,"gold"
"IB33",3,"olivedrab"
"IB49",2,"lightblue"
"IC17",3,"olivedrab"
"IE1K",3,"olivedrab"
"IN0017",3,"olivedrab"
"IN0054",3,"olivedrab"
"IN0059",3,"olivedrab"
"IN0114",3,"olivedrab"
"IN0115",3,"olivedrab"
"IN0116",4,"gold"
"INA168",4,"gold"
"IR00102",5,"purple"
"IR0013",5,"purple"
"IR0015",5,"purple"
"IR0083",5,"purple"
"IR0084",5,"purple"
"IR0088",5,"purple"
"IR0095",5,"purple"
"IT0010",4,"gold"
"JP0091",5,"purple"
"LpKY-97-1",6,"cyan"
"ML0060",1,"tomato"
"ML0062",3,"olivedrab"
"ML33",1,"tomato"
"NG0012",1,"tomato"
"NG0054",1,"tomato"
"NP0058",7,"orange"
"P28",6,"cyan"
"P29",6,"cyan"
"P3",6,"cyan"
"Pg1213-22",6,"cyan"
"PgKY4OV2-1",6,"cyan"
"PgPA18C-02",6,"cyan"
"PH42",6,"cyan"
"PL2-1",6,"cyan"
"SSFL02",6,"cyan"
"SSFL14-3",6,"cyan"
"T25",6,"cyan"
"TG0004",3,"olivedrab"
"TG0032",3,"olivedrab"
"TN0001",2,"lightblue"
"TN0002",2,"lightblue"
"TN0050",3,"olivedrab"
"TN0057",3,"olivedrab"
"TN0065",2,"lightblue"
"TN0090",2,"lightblue"
"TR0025",4,"gold"
"US0041",3,"olivedrab"
"US0064",5,"purple"
"VT0027",1,"tomato"
"VT0030",1,"tomato"
"Z2-1",6,"cyan"
