"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",1,"tomato"
"Arcadia",1,"tomato"
"B2",2,"lightblue"
"B71",2,"lightblue"
"Bd8401",2,"lightblue"
"BdBar",2,"lightblue"
"BF0072",1,"tomato"
"Bm88324",5,"purple"
"BN0019",1,"tomato"
"BN0119",1,"tomato"
"BN0123",1,"tomato"
"BN0202",1,"tomato"
"BN0252",1,"tomato"
"Br7",2,"lightblue"
"Br80",2,"lightblue"
"CD0065",1,"tomato"
"CD0142",1,"tomato"
"CH0043",4,"gold"
"CH0072",4,"gold"
"CH0452",1,"tomato"
"CH0461",4,"gold"
"CH0533",1,"tomato"
"CH1103",4,"gold"
"CH1164",4,"gold"
"CHRF",2,"lightblue"
"CHW",2,"lightblue"
"CM0028",1,"tomato"
"FR1067",2,"lightblue"
"FR1069",2,"lightblue"
"G17",2,"lightblue"
"G22",2,"lightblue"
"GFSI1-7-2",5,"purple"
"GG11",2,"lightblue"
"GN0001",5,"purple"
"GY0040",1,"tomato"
"HO",2,"lightblue"
"IA1",1,"tomato"
"IB33",1,"tomato"
"IB49",3,"olivedrab"
"IC17",1,"tomato"
"IE1K",1,"tomato"
"IN0017",1,"tomato"
"IN0054",1,"tomato"
"IN0059",1,"tomato"
"IN0114",1,"tomato"
"IN0115",1,"tomato"
"IN0116",1,"tomato"
"INA168",1,"tomato"
"IR00102",5,"purple"
"IR0013",5,"purple"
"IR0015",5,"purple"
"IR0083",5,"purple"
"IR0084",5,"purple"
"IR0088",5,"purple"
"IR0095",5,"purple"
"IT0010",1,"tomato"
"JP0091",5,"purple"
"LpKY-97-1",2,"lightblue"
"ML0060",1,"tomato"
"ML0062",1,"tomato"
"ML33",1,"tomato"
"NG0012",1,"tomato"
"NG0054",1,"tomato"
"NP0058",4,"gold"
"P28",2,"lightblue"
"P29",1,"tomato"
"P3",2,"lightblue"
"Pg1213-22",2,"lightblue"
"PgKY4OV2-1",2,"lightblue"
"PgPA18C-02",2,"lightblue"
"PH42",2,"lightblue"
"PL2-1",2,"lightblue"
"SSFL02",2,"lightblue"
"SSFL14-3",2,"lightblue"
"T25",2,"lightblue"
"TG0004",1,"tomato"
"TG0032",1,"tomato"
"TN0001",3,"olivedrab"
"TN0002",3,"olivedrab"
"TN0050",1,"tomato"
"TN0057",1,"tomato"
"TN0065",3,"olivedrab"
"TN0090",3,"olivedrab"
"TR0025",1,"tomato"
"US0041",1,"tomato"
"US0064",5,"purple"
"VT0027",1,"tomato"
"VT0030",1,"tomato"
"Z2-1",2,"lightblue"
