"isolate","Host binomial name","Host genus","Locality","Longitude","Latitude"
"TG0004","Oryza sativa","Oryza","Elavayo, Togo","0.8325041","8.6259267"
"TG0032","Oryza sativa","Oryza","Elavayo, Togo","0.8325041","8.6259267"
"TN0001","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TN0002","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TN0050","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TN0057","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TN0065","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TN0090","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253"
"TR0025","Oryza sativa","Oryza","Turkey","35.240741","38.9573415"
"US0041","Oryza sativa","Oryza","Mississippi, USA",-90,33
"US0064","Setaria sp.","Setaria","Maryland, USA","-76.81775","39.09205"
"VT0027","Oryza sativa","Oryza","Phu Ly, Vietnam","105.91221","20.54531"
"VT0030","Oryza sativa","Oryza","KimBang, Hanam, Vietnam","105.85","20.583"
"Z2-1","Eleusine coracana","Eleusine","Kagawa, Japan","133.9499962","34.2666656"
