FID,IID,PC1,PC2,PC3
Arcadia,Arcadia,-0.0277286,0.00671151,0.00715205
B71,B71,0.147446,-0.19341,-0.0215207
BdBar,BdBar,0.141868,-0.188009,-0.0181403
BF0072,BF0072,-0.0517968,0.0151461,0.00328226
BN0019,BN0019,-0.0515395,0.0144314,0.00365298
BN0119,BN0119,-0.0738246,0.0233905,-0.000119669
BN0123,BN0123,-0.0736878,0.0233613,-0.000136813
BN0202,BN0202,-0.0737217,0.0231009,-0.000551563
BN0252,BN0252,-0.0737446,0.022676,-0.000678951
Br80,Br80,0.137501,-0.18233,-0.0507754
CD0065,CD0065,-0.0743158,0.0231341,-0.000685525
CD0142,CD0142,-0.0735557,0.0219094,-0.00141722
CH0043,CH0043,-0.0742976,0.022953,-0.000931162
CH0072,CH0072,-0.0747103,0.0229294,-0.00099553
CH0452,CH0452,-0.0740311,0.0231524,-0.000417011
CH0461,CH0461,-0.0752363,0.0223603,-0.0015593
CH0533,CH0533,-0.073657,0.0228918,-0.000724152
CH1103,CH1103,-0.0745937,0.0230911,-0.000996605
CH1164,CH1164,-0.0747665,0.0229027,-0.000833199
CM0028,CM0028,-0.0746854,0.0238182,-0.00015938
FR1067,FR1067,0.129546,-0.197667,-0.0742494
FR1069,FR1069,0.129955,-0.198006,-0.074634
GFSI1-7-2,GFSI1-7-2,-0.030421,0.00754437,0.0100802
GN0001,GN0001,0.26823,0.26212,-0.0167807
GY0040,GY0040,-0.0739748,0.02265,-0.00135277
HO,HO,0.129206,-0.19979,-0.0761878
IA1,IA1,-0.0724761,0.0209346,-0.00190681
IB33,IB33,-0.0734247,0.0212361,-0.0024815
IB49,IB49,-0.0724091,0.021048,-0.00153224
IC17,IC17,-0.0718972,0.0208739,-0.00231683
IE1K,IE1K,-0.0719367,0.0207247,-0.00264583
IN0017,IN0017,-0.0742493,0.02349,-0.000173966
IN0054,IN0054,-0.0746699,0.023594,-0.000257681
IN0059,IN0059,-0.0741111,0.0234647,-0.000426971
IN0114,IN0114,-0.0733031,0.0230448,0.000356498
IN0115,IN0115,-0.0733312,0.0228929,-0.000406945
IN0116,IN0116,-0.0727785,0.0225281,-0.000394317
INA168,INA168,-0.0731637,0.0227441,0.000421758
IR00102,IR00102,0.28446,0.279893,-0.0275617
IR0013,IR0013,0.282023,0.277645,-0.0273048
IR0015,IR0015,0.282894,0.278562,-0.0273391
IR0084,IR0084,0.283644,0.279193,-0.0273174
IR0095,IR0095,0.262887,0.264875,-0.0266305
IT0010,IT0010,-0.0738502,0.0229138,-0.000430398
JP0091,JP0091,-0.0253484,0.00842602,0.00848337
LpKY-97-1,LpKY-97-1,0.129399,-0.200014,-0.0766664
ML0060,ML0060,-0.0746981,0.0239013,-0.000279359
ML0062,ML0062,-0.0744551,0.0235266,-0.000481039
ML33,ML33,-0.074038,0.0228276,-0.000763438
NG0012,NG0012,-0.0739774,0.0231626,-0.000594096
NG0054,NG0054,-0.0742007,0.0233456,-4.40284e-05
NP0058,NP0058,-0.0753152,0.0226929,-0.000870877
P28,P28,0.139222,-0.195001,-0.0479497
P3,P3,0.136496,-0.17775,-0.058448
Pg1213-22,Pg1213-22,0.125639,-0.183289,-0.0470268
PgKY4OV2-1,PgKY4OV2-1,0.123935,-0.191641,-0.0699947
PgPA18C-02,PgPA18C-02,0.125036,-0.192627,-0.0706696
PL2-1,PL2-1,0.128442,-0.19694,-0.0743488
T25,T25,0.14653,-0.177546,-0.0502203
TG0004,TG0004,-0.0734462,0.0230112,-0.00110887
TG0032,TG0032,-0.0733594,0.0230518,-0.000997763
TN0001,TN0001,-0.0736272,0.0224251,-0.00143362
TN0002,TN0002,-0.0737475,0.0224954,-0.0013902
TN0050,TN0050,-0.0741979,0.0233558,-0.000466244
TN0057,TN0057,-0.0741049,0.0232644,-0.000438811
TN0065,TN0065,-0.0733974,0.0222322,-0.00162335
TN0090,TN0090,-0.0735455,0.0224048,-0.0013544
TR0025,TR0025,-0.0740157,0.0230306,-0.000442132
US0041,US0041,-0.0727165,0.0219413,-0.0016488
US0064,US0064,-0.0262216,0.00886119,0.00781944
VT0027,VT0027,-0.0738964,0.0230475,-0.000142748
VT0030,VT0030,-0.0737165,0.0234043,-9.07995e-05
Z2-1,Z2-1,0.152044,-0.11662,0.971411
